스팟아이디,스팟명,오디오명,대본내용,재생시간(초)
101721,Standing Gilt-bronze Buddhist of Mercy,Standing Gilt-bronze Buddhist of Mercy,"Let’s now take a look at another Buddhist saint who represents the religious beliefs of the Baekje people The little Buddhist figure that you are looking at now is a Buddhist saint made of gilt bronze. As I mentioned earlier, a Buddhist saint is a disciple who follows Buddha and leads the people. The Buddhist saints were depicted as beautifully decorated, wearing bejeweled crowns and other items of jewelry such as bracelets and brooches. Such figures were designed to closely resemble a human being so that earthly people would feel more comfortable in its presence than they would in the presence of a deity. Of the many different Buddhist saints, this is the Buddhist of Mercy. She listened to the voices and cries of all the people who were in pain and granted them relief and comfort. Along with the Maitreya, this saint was very popular in East Asia. East Asian people tend to call on the Buddhist of Mercy when they are in trouble or when they find life too difficult. Baekje people behaved similarly. Can you see the saint's chubby face, slight smile, and slim figure Her garments cling to the body, clearly revealing her shape, and the right knee is bent slightly. Below her shoulders you can see her flowing garments and the fingers of her left hand lightly clutching the cloth. The saint is holding a aloft some beads in her right hand. In addition, there is a voluminous, multilayered, lotus shaped throne. Aren’t the details magnificent This Buddhist of mercy represents the serene and majestic beauty of Baekje.",116
101722,Stele of Sataekjijeok,Sataekjijeok Laments the Flow of Time,"[Narration] The stele displayed here was found amid a pile of stones on a mountain near Buyeo. It is the work of Sataekjijeok, a prime minister of Baekje who held office during the mid 7th century. [Tourist]I can see some Chinese characters inscribed on the stele. What do they mean[Narration] I will read them for you. “The moon was sad that the sun was leaving so quickly, and so it mined gold to build a special house and used jade to build a sacred temple. Its affection can be felt in the sacred light sent to the clouds….” Was the text a little difficult to understand[Tourist] “The sun was leaving so quickly”… Does the phrase mean that time was passing by quickly[Narration] Yes, that’s right. It seems that Sataekjijeok was lamenting his old age after resigning from his position as prime minister. The inscription concludes with him determining that he will return to his Buddhist faith and construct temples. [Tourist] Oh, I see. It reminds me of the quote from Shakespeare’s Macbeth, “Our time is as a shadow that passed away.” I guess people in both the East and the West share similar feelings about life passing them by. ",85
101723,Chiljido,"Chiljido, The Secret Gate of Baekje","[Narration] This sword is called Chiljido, and it means ‘seven branched sword’. As you can see, it has a long straight body and three branch-shaped blades protruding from each side. [Tourist]It is quite unlike the other ordinary swords. It looks like a cactus, and I bet it must have been really difficult to make.[Narration] Ha-ha, yes! There’s an inscription on the front which says that this sword was made by hammering the iron a hundred times. Making such a delicate iron sword with branches on each side must have required highly skilled craftsmen. [Tourist]What was it made for[Narration] The reason is inscribed on the back of this sword. It was made as a gift for the King of Baekje to give to the King of Japan. [Tourist] Ah, there really was great cultural exchange between the two countries.[Narration] Yes, but there is a controversy on the nature of the gift. Koreans insist the sword was presented as a gift between two friendly rulers, while the Japanese assert that the sword was ‘yielded’ as an offering to the Japanese ruler. Unfortunately, the controversy will not be easily resolved because some of the key letters inscribed on this sword are worn out. It has been regarded as a matter of national dignity, so the interpretation of inscriptions on this sword is still a sensitive issue.[Tourist] Umm… that’s complicated.[Narration] I agree. But obviously, there was frequent cultural exchange between the two countries at that time. And we can see that Baekje people obtained superior iron manufacturing technique.",118
10418,Tomb No. 3 - I,A Gigantic Tomb,"The gigantic tomb you see to the right of the entrance is the Tomb No. 3. Let’s examine the construction process of this tomb.First, mud and gravel were poured to level the ground, and then flat polished stones were stacked on top. After placing the first 90-cm thick floor, the second floor was built a bit inward, and the third floor was stacked directly on top. Strangely, the third floor was twice as thick as the other floors.  During the excavation survey, experts determined that the third floor was 4 meters high. However, referring to photographs of the past, some believed that the actual size was 7 meters high with 7 floors. Since the restoration process was based on speculation, the tomb was restored as found  three floors in a damaged state. Fragments of celadon from China and gold bead necklaces were excavated from this tomb, but no burial facility was found. Since many stone mound tombs of Goguryeo have burial facilities above the third floor, it is believed that the burial facility of this tomb was damaged and destroyed from its original state.  ",102
10418,Tomb No. 3 - I,Master of the Tomb No. 3,"Based on the Chinese celadon fragments excavated from the Tomb No. 3, it is assumed that this tomb was built after the mid-4th century.Observing from the size of the tomb and the period when it was made, the person who was buried in this tomb was probably either King Geunchogo, who led during the peak of early Baekje period, or possibly his son. King Geunchogo is famous for establishing a centralized system with powerful royal authority and raising Baekje’s international status. King Geunchogo engaged in a war with the neighboring kingdom of Goguryeo over the rule of mid-western Korean Peninsula. Although Goguryeo was a powerful kingdom of East Asia, Baekje won the war. Due to its location and geographical advantages, Baekje was able to perform constant exchanges with China. His influence also affected the southern part of the peninsula and established the first exchange with the neighboring Gaya confederacy. He also carried out cultural exchange with Japan through the coastal sea route of the South Sea. As a result, Baekje was able to become a power figure of East Asia by establishing an international exchange network including China, Gaya, and Japan. King Geunchogo is regarded as the most symbolic king of the early Baekje Period. That’s why we speculate that he was buried in the Tomb No. 3, which is the largest of all ancient tombs of Baekje.",126
10419,Tomb No. 4,Changes of Baekje’s Tomb Style,"The Tomb No. 4, lying next to the Tomb No. 3, doesn’t look any different from the other tombs on the outside. However, excavation revealed a stone burial chamber inside the tomb, showing a key difference compared to other ancient tombs. Before the 3rd century, Baekje was one of many small states in the southwest area on the Korean Peninsula. That’s why it’s highly likely that the royal tombs from back then were different from the stone mound tombs of Seokchon-dong. After the 3rd century, Baekje strengthened its royal authority and expanded its national power. During this time, Baekje probably built these gigantic stone mound tombs for the royal family. Although initially influence by Goguryeo, Baekje soon created its own unique tomb design, which contained stone burial chambers like the one seen from the Tomb No. 4.",82
10417,Early Baekje Stone Mound Tombs in Seokchon-dong ,Large Stone Mound Tombs Found in Seokchon-dong,"The Ancient Tombs in Seokchon-dong belong to Baekje, the kingdom that ruled the southwest area of the Korean Peninsula from BC 18 to AD 660. When Baekje was founded, its capital was near today’s Seoul. This tomb complex belongs to the early royal family of Baekje.All tombs found here were constructed by stacking stones. In the early 20th century, around 300 tombs were found in this complex. When a series of excavation surveys took place in the 1980s, many tombs were already gone due to city development projects. Here, you can see five large tombs. Stone mound tombs refer to the style where square stones are stacked like stairs. This is similar to the tomb style of the neighboring kingdom of Goguryeo. Baekje was founded by migrants from Goguryeo and natives of the Hangang area. Thus Baekje was under the influence of Goguryeo from early on. These stone mound tombs also show such influence. ",91
10415,Storage Pit,Storage Pit Found within the Fortress,"There is a pit house exhibition hall, where you can see the exhibition of the storage pit found within the fortress. The overall shape of the storage pit is circular, and it had a wide top and narrow bottom. A total of 31 storage pits were found in Mongchontoseong.Usually, this kind of storage pits were found in the dwelling sites of the Bronze Age. In Mongchontoseong area, many of these storage pits were also found around pit houses, which was the residential area during the Baekje Period. Because the pit maintained a stable temperature compared to the outside, people most likely built these to store food. Baekje people stored food near their houses, and took them out when as needed.In addition, diverse potteries were found in some of the pits of Mongchontoseong. People probably buried dishes and food after performing rituals. ",83
10414,Moat and Wooden Fences,Defense Facilities of the Fortress,"Because Mongchontoseong was a fortress built to defend the city and royal palace, it was equipped with many facilities for thorough defense. Among many, the moat and wooden fences require special attention.The moat was a trench filled with water surrounding the fortress to prevent access or invasion. Many European castles from the Middle Age were also equipped with moats. Regardless of the continent, moats were excellent facilities to defend a castle or a fortress.Sometimes, the natural streams near the fortress acted as moats. For example, the moat discovered in Mongchontoseong was artificially constructed by manipulating the flow of Seongnaecheon, a branch of Hangang River.Mongchonho, located in front of the Seoul Olympic Museum, and 88 Pond in Olympic Park are reproductions of the moat of the fortress.Wooden fences were made by driving in stakes. While you walk along the fortress, you can see the restored wooden fences. Holes were drilled on the underground bedrock and central pillars were installed in uniform intervals. Then supplementary pillars were installed around those to support the overall structure. The height was most likely above 2 meters.These wooden fences were discovered in the east and west walls of Mongchontoseong, but people of Baekje probably built these in many other areas for defense.  Although the fortress now appears peaceful, it was filled with tension to defend itself from the enemy. The invading enemies used boats or threw a bridge to cross the moat. The arrows they shot after crossing the moat were most likely blocked by the wooden fences. In other words, the wooden fences were the second line of defense to better defend the capital from the enemy.",149
10413,Mongchontoseong Fortress,"Mongchontoseong, the Royal Fortress of Seoul Era","Inside Olympic Park, which was built to commemorate the 1988 Seoul Olympics, there is an ancient heritage of Korea called Mongchontoseong. Although it is a beautiful walkway for the residents today, it used to be a fortress that defended the ancient kingdom.The kingdom this fortress was defending was Baekje, which ruled the southwest area of the Korean Peninsula from BC 18 to AD 660. When Baekje was founded, its capital was located in today’s Gangnam area of Seoul. For 500 years since then, Baekje developed its unique history and culture.Mongchontoseong is surrounded by a branch of Hangang River called Seongnaecheon, and it was built to defend the capital of Baekje. The entire length of the fortress wall was around 2.3km, and the area inside the fortress was about 4 times that of the Seoul World Cup Stadium. Two construction methods were used to build the wall. One was panchuk method that tramped the clay and stacked in certain intervals, and the other one was buyeop method that stacked soil on top of little wooden sticks or leaves. While regular earthen wall is vulnerable to water and thus easily collapses, use of buyeop method enabled natural absorption of water to the wall and led to excellent draining. Therefore, ancient people used this method when they built embankments or fortresses.  It is presumed that Mongchontoseong was made around the 4th century. Later on, the neighboring kingdom of Goguryeo occupied the area and used this earthen fortress until the 6th century. Mongchontoseong was left forgotten for a long time. When Korea was preparing for the 1988 Seoul Olympics, the excavation survey on this fortress was conducted as well.",155
10411,Picture of Foreign Envoys,Baekje Envoy to the Liang Dynasty,"This painting depicts envoys from various countries that came to the Liang Dynasty of China to pay tribute in the early 6th century. Foreign envoys are expressed in fine details from Chinese perspective. Look at the screen next to the painting for better detail on moving envoys. At the center, there is envoy from Baekje, so let’s take a careful look at it. He’s wearing an official hat on his head and a traditional Korean overcoat and trousers with leather shoes. He looks very refined and elegant.  He is very distinctive compared to the envoys from other countries that are standing next to him. There are even those with cloth pieces on the body and no shoes. This painting implies that Baekje was a highly sophisticated kingdom compared to its neighbors.There’s also a brief description about Baekje and its exchange with China. In addition to the explanation of Baekje from China’s point of view, it contains the exchange contents between Baekje and China. This painting provides invaluable and detailed information about Baekje culture and customs in the 6th century. ",96
10410,Gilt -bronze Crown,Gilt-bronze Crown of the Seoul Era,"Look at this marvelous gilt-bronze crown. Three pieces of leaf-like decorations are attached vertically on the cone-shaped body.Similar gilt-bronze crowns manufactured during the Seoul Era of Baekje were found in various regions that belonged to Baekje. All of them share similar styles and production techniques. Tombs that contained the gilt-bronze crowns probably belonged to the noble class of each region. This gilt-bronze crown is from the 5th century, when Baekje was focused on expanding its territory. In order to strengthen the centralized power system, Baekje’s royal family in Hanseong, or ancient Seoul, granted these gilt-bronze crowns to appease the regional powers. The noblemen of each region enjoyed more powerful authority within their area with this crown, and in turn, they obeyed the royal authority. The decoration style of the gilt-bronze crown differs in each region. Dragon decorations were found near Hanseong area, while flower and grass decorations were found in regions further away from the capital. In ancient society, the dragon was a mythical creature with the power of controlling wind and rain. The decoration of the crown was most likely to show the order of rank in each region. ",109
10409,Baekje Envoy Ship,Baekje as a Bridge of East Asia’s Exchange Network,"A real-sized envoy ship of Baekje is reproduced and exhibited at the end of the Second Exhibition Hall. Under the order of the king, Baekje’s envoy enjoyed travelling via this ship. Baekje served as the bridge connecting the exchange network of China, the Korean Peninsula, and Japan.Baekje expanded its exchange with China through the West Sea of Korea via Hangang River and became the central hub of East Asia’s exchange.It also carried out exchanges with the neighboring Gaya confederacy to the south, and expanded its route to the South Sea. Baekje used this sea route to reach Japan.By mid-4th century, Baekje established marine footholds in various parts of China, the Korean Peninsula, and Japan. Using this infrastructure, it became a powerful marine country that led East Asia’s marine trading.Many artifacts showing Baekje’s exchange network were excavated from Pungnaptoseong and Mongchontoseong, and they include Chinese ceramics and Japanese earthenware.",90
10408,Shrine for King Dongmyeong ,A Shrine for the Founder King Dongmyeong,"The Shrine for King Dongmyeong, you see now, is reproduced by restoring the building site discovered in Pungnaptoseong. This shrine was built to commemorate the origin of Baekje’s royal family, and it serves a similar purpose to that of European temples.As you can see from the mannequins standing inside the shrine, the royal members of Baekje, including the king and queen, held four rituals per year. It was one of the biggest ancestral rituals that the king attended. ‘King Dongmyeong’ was the founder of Baekje’s neighboring kingdom called Buyeo. Buyeo was founded right before the fall of Gojoseon, the first ancient kingdom of Korea, and was located north of the Korean Peninsula close to China. During the Seoul Era, Baekje people believed that they were from Buyeo. The surname of Baekje’s royal family is also ‘Buyeo,’ showing their belief in this thought. Kings of Baekje during the Seoul Era held ancestral rituals in this shrine and worshiped the founder of Buyeo, while showing the regal power of the royal family.",91
10407,Bricks and Cornerstone,Brick and Cornerstone Showing the Splendor of Building,"Bricks and cornerstones were construction materials used to decorate a building. Let’s first take a look at these bricks. Clay was put in a frame, then either dried or fired to make the brick. While regular bricks are rectangular, these are thinner and wider. Because bricks can be manipulated into any shape, whereas stones cannot, they were either used in elegant building decoration or in paved road construction.Also take a look at the cornerstones. This is the decoration for the part that wraps and supports a pillar. The outer shape of the cornerstone is diverse, including octagonal, nonagonal, or decagonal patterns, while the inner shape is round in order to insert the pillar. These bricks and cornerstones were probably used for extravagant decoration of the palace and major buildings inside the fortress. In particular, the bricks were specially crafted by master craftsmen, and they show us the advancement of Baekje’s construction technology.",88
10405,Bone Armor ,Bone Armor Discovered in Mongchontoseong,"This bone armor was found in Mongchontoseong. Armor was a defensive article of clothing to protect the body and legs from an attack by the enemy. The ancient armors of Korea can be largely divided into two types, based on its shape. Plate armor is made by connecting many pieces of plates, while scale armor is made by connecting tens and hundreds of scale-looking metal pieces. Compared to the plate armor, scale armor allows for more mobility. This bone armor we are looking at now is a type of plate armor. While most plate armors are made from metal pieces, this armor is made with cow bones.Carefully look at the cow bone pieces of the armor. No two bones are the same size. This is because each part of the body was precisely measured, and each armor part was produced separately. Not only does the size differ, but also the diameter of each connecting hole was made differently, displaying a very well-crafted and detailed piece of armor.",88
10406,Earthenware II ,Earthenware Found in the Tombs,"These earthenware potteries were excavated from the tombs established during the early Baekje Period. Among many artifacts displayed here, please pay attention to the black burnished pottery.Black burnished pottery is made by using gravel and a dull pointed tool to smooth out the surface during the production process. Black burnished pottery looks black because the smoothed surface absorbs a higher amount of carbon than those that are left in its original state. Black burnished pottery requires skilled techniques of master craftsman and takes a long time, making it a high-end item. This pottery appeared in the early days of Baekje earthenware, and was developed into a unique style. Many black burnished potteries were found in capital areas such as Pungnaptoseong and Mongchontoseong, royal tombs in Seokchon-dong, and the tombs of regional noblemen. Because they were so high-end, they were used to symbolize the authority of the ruling class.",85
10404,Earthenware I ,Earthenware Found from the Fortress,"Earthenware was used for diverse purposes from everyday life to various rituals. Because of the large production amount and long preservation, earthenware was most frequently found during the excavation process. In particular, the earthenware found in Pungnaptoseong is both high in number and quality. They show the excellent earthenware production techniques of the masters in Hanseong. It is so distinctive, that when earthenware was found in other regions, experts were able to determine if it was produced locally, or imported from Hanseong.  Take a look at the earthen potteries. The orange-colored earthenware was made in the early 3rd century. The color of earthenware is related to the production process. They turned orange because the potters weren’t able to prevent oxygen from entering the kiln during the firing process, therefore causing oxidation over time. Contrarily, earthenware produced in the 5th century is usually grey. It’s because the kiln lacked oxygen inside during the firing process.There are diverse earthenware styles. In particular, the dish with three legs is the most representative artifact of Baekje. ",100
10403,Miniature Model of Hanseong,Overall Scenery of Hanseong,"Let’s look at the overall scenery of Hanseong through the model. It is thought that the king and ruling class resided inside Pungnaptoseong and Mongchontoseong. If you look at the model that’s reproduced, based on building sites inside the fortress, you can see the palace, garden, and official buildings were located inside the fortification. Another extremely important facility of Hanseong was the tomb complex, where the tombs of kings and ruling class were located. In the left model, look at the Ancient Tombs in Seokchon-dong, located southwest of Mongchontoseong. Based on its size, we assume that people from the highest class were buried in this area. So where did common people live Looking at the residential area from the model, you can see that the common people mainly lived outside the fortress. In 2004, a well was excavated from the eastern area outside the Pungnaptoseong, telling us that people lived near this area. Especially, there was a huge residential area near Pungnaptoseong around Hangang River.Observing the model, can you locate the ranch Domestic animals such as horses and cows played important roles in agriculture, transportation, and during war in ancient times. As a result, the royal family of Baekje built a ranch to systematically control their domestic animals.Was the model helpful to see the old Hanseong During the Seoul Era, Baekje was a complete ancient kingdom built around this elaborate capital. Let’s move on to other artifacts now. ",134
10403,Miniature Model of Hanseong,Pungnaptoseong and Mongchontoseong,"When you enter the Second Exhibition Hall of the museum, you can see the reproduction of ancient Seoul. The miniature model is divided into two sections. To the left of the ferry is Mongchontoseong, and to the right is Pungnaptoseong. Baekje always constructed fortresses along the river. Not only were they able to defend themselves from the enemy using the river as a natural defense system, but this location also gave them advantage in marine trading through the Yellow Sea. Now, let’s talk about these two fortresses that influenced the foundation and development of Baekje. Baekje was founded in the area near Pungnaptoseong around 18 BC. It was one of many small states in the area south to the central Hangang River. In the mid-3rd century, Baekje developed into a massive kingdom, and Pungnaptoseong is believed to have been built around this period. Mongchontoseong was built afterwards. Baekje reached her prime in the mid-4th century. During this time, the king of Baekje set up the capital in Hanseong, today’s Seoul, where Pungnaptoseong and Mongchontoseong were located. When you look at the model, you can see a palace inside each fortress. The king originally resided in Pungnaptoseong, but after the victory against neighboring kingdom of Goguryeo, he constructed a new palace inside Mongchontoseong to show off his powerful royal authority. As you can see, the two fortresses were extremely important in the developmental process during the Seoul Era of Baekje. ",131
10402,A Cross Section of the Fortress Wall ,Construction of Pungnaptoseong,"Welcome to Seoul Baekje Museum. Baekje used to rule southwest area of the Korean Peninsula from 18 BC to 660 AD. When Baekje was founded, its capital was close to where today’s Seoul exists. The name of the capital then was Hanseong. The first artifact you’ll see is the cross section of the fortress wall of Pungnaptoseong. Pungnaptoseong survived 1700 years, and is the symbol of the Seoul Era of Baekje along with nearby Mongchontoseong.This giant fortress wall cross section is 43 meters wide and 10 meters high, and it’s just a small sample of what was collected from the fortress wall. You can clearly see the layer of clay that formed the wall. This earthen fortification was built with a brilliant construction technique of layering different materials so that it can withstand flood or other damages. The soil was well packed and stacked in certain intervals, enabling it to be sturdy against natural disasters or external impacts.Tremendous manpower was required to construct the 3.5km-long earthen fortification. It is estimated that Pungnaptoseong was constructed after the mid-3rd century, and this wall tells us that the royal authority of Baekje was expanding around this Seoul Era. Now, shall we head to the Second Exhibition Hall to see the artifacts from the Seoul Era ",121
10602,Tomb of King Suro,The Foundation Mythology of King Suro,"Numerous small kingdoms co-existed on the Korean Peninsula during the first century. The Gimhae region in the south of the peninsula was unoccupied until King Suro founded Geumgwan Gaya. The region developed into a powerful kingdom and flourished right up until the 4th century. We have now arrived at the Royal Tomb of King Suro, the founder of Geumgwan Gaya. There is a legend surrounding his birth.According to the legend, six golden eggs wrapped in red cloth descended from heaven to Guji Peak during the first century. Children hatched from each of the eggs, but the first ‘born’ was King Suro.Foundation mythology of this type, referring to founders hatching from eggs, is common across Southeast Asia. For example, a Chinese creation myth refers to a giant hatching out of a large egg. These stories serve to emphasize the divinity of the nations’ founders.The story of King Suro’s ‘birth’ is one of the most famous legends in Korea. It was even the subject of a TV drama produced in 2010.",84
10603,Tomb of King Suro,The Secret of the Two-Fish Motif from India,"Let me introduce Queen Suro before we enter the Royal Tomb of King Suro. It is a widely held belief that Queen Suro was an Indian princess. It’s very interesting to think that an international marriage may have occurred during the first century in Korea! Let’s learn some more about Queen Suro. A clue that might help us to unravel the mystery of her heritage can be seen on the entrance gate of the tomb.From the center of the gate, look up at the top part of the left- and right-hand gates. Can you see the two fish facing each other This motif is purported to hint at the origins of the Queen.Although there are different opinions concerning the origin of this unique fish motif, the predominant theory is that it is an Indian design and a symbol representative of Ayodhya in India.According to legend, Queen Suro was a princess from Ayodhya. She travelled to Gaya after her parents received a revelation from God that their daughter was to marry King Suro.Similarities between the motifs of the two fish at the entrance of the tomb and in Ayodhya are cited as proof of ancient links between Gaya and India. Actually, the motifs still appear on public buildings, on police insignia, and even on taxi number plates in Ayodhya. It may be coincidental that King Suro’s tomb features a motif that is representative of Ayodhya, but it is surprising, nonetheless.",109
10604,Tomb of King Suro,Kim Suro Became the King of Gaya,"[Narration] The legend surrounding the birth of King Suro has been passed down from generation to generation in the Gimhae region. As befits the founder of Gaya, the legend describes a supernatural, divine occurrence. According to the legend, King Suro hatched from a golden egg descended from heaven. He was not a mere mortal! Let’s learn about the legend in more detail.Before Gaya was founded, nine different chieftains ruled the Gimhae region together. One day, a strange sound was heard coming from the peak of a nearby mountain. A voice from heaven told the people to sing and dance to celebrate the coming of their new king. Many people heard the news and then they gathered on the peak and began singing.[Adogan & Yeodogan] Turtle, turtle, put your head out. Or we will broil you for dinner.[Narration]The head of turtle referred to here may have been a symbol of the king. But why did they use the turtle as a symbol In ancient times, turtles generally represented male sexual organs. They represented fertility and abundance, which were crucial to the success of a nation. People believed that only a king descended from heaven could possibly manage all of the affairs of a kingdom. Thus the story suggests that the nine chieftains of Gimhae longed for the birth of powerful, divine king who could unify the region.While the people gathered on the mountain were absorbed in joyous singing and dancing, six golden eggs wrapped in red cloth descended from heaven. After a few days, a baby hatched from one of the eggs. He was named ‘Suro’, meaning ‘firstborn’, and later became the founder of Geumgwan Gaya and its first king.",128
10606,Royal Tomb of Queen Suro,Princess from Ayodha became Queen Suro - Legend of Marriage,"This is the Royal Tomb of Queen Suro. There is a legend about the marriage of King Suro and his Queen. According to this legend, Queen Suro was originally an Indian princess. One day, her parents received a divine revelation that she was destined to marry King Suro, and so the princess travelled to Gaya and married the king in accordance with her parent’s instructions. The power of destiny was strong enough to lure the princess to Gaya from faraway India. Although it is impossible to verify and is only a story that has been passed down through the generations, there is a clue that may support the legend at the entrance to the Royal Tomb of King Suro. At the entrance gate, there’s a drawing featuring a motif of two fish facing each other. These fish are representative symbols of Ayodhya in India, believed to be the hometown of the princess, and appear on public buildings, on police insignia, and even on taxi number plates in the area. Similarities in the motifs of the two fish at the entrance to the tomb and in Ayodhya are cited as proof of ancient links between Gaya and India. It may be coincidental that King Suro’s tomb features the motif representative of Ayodhya, but it is surprising, nonetheless. On the other hand, some historians insist that Queen Suro was not from India. According to the legend of her marriage, she brought with her many goods from China. This suggests that she may have migrated from China or have been a merchant visiting China.  There’s no way to conclusively determine the heritage of the Queen. We only know that she was a mysterious and courageous woman who travelled to Gaya to marry King Suro.",132
10607,Pasa Stone Pagoda,The Origin of Pasa Stone Pagoda,"Do you see the Pasa stone pagoda It is mentioned in the legend about the marriage of King Suro and his queen. As the legend goes, Queen Suro was originally an Indian princess. Upon the instructions of her parents, she boarded a ship to travel to Gaya to marry King Suro. However, stormy weather and rough seas forced the voyage to be abandoned and so she returned to India. Her father gave her a stone pagoda to take with her on her subsequent attempt to reach Gaya. The stormy weather suddenly ceased and she was able to successfully cross the peaceful seas and marry King Suro.The stone pagoda was then kept at a temple in Gimhae. Local people often visited the stone pagoda to pray for their safety before venturing out to sea. The pagoda was believed to be the guardian of seafarers, as it had protected Queen Suro on her voyage. Unfortunately, there are no historical records concerning this particular stone pagoda. Although doubts remain about whether this structure is the same one featured in the legend, the hopes and desires of many dwell in this pagoda. Why don’t you make a wish here The stone may keep you safe on your travels.",96
10609,Guji peak,Birth of Gaya on Guji Peak,"[Narration] We have now arrived at Guji Peak, and it is the setting of the legend about King Suro, the founder of Gaya. This peak’s name ‘guji’ means ‘a turtle’s head’ and it derives from its shape when viewed from a distance.[Tourist] I see. What is the legend of King Suro[Narration] I’ll tell you briefly. Before Gaya was founded, nine different chieftains collectively ruled the Gimhae region. One day, a strange sound was heard coming from Guji Peak. A voice from heaven told the people to sing and dance to celebrate the coming of their new king. The news of the message spread and many people gathered at Guji Peak. They began to dance and sing in celebration and to honor the new king. Before long, six golden eggs wrapped in red cloth descended from heaven to earth. The first child to hatch from one of the eggs was King Suro, who went on to found Geumgwan Gaya in the Gimhae region. The word Suro means ‘firstborn’.[Tourist] What about the other five eggs [Narration] Five men hatched from the five remaining eggs, and like King Suro, each founded a separate region of Gaya. As such, Gaya became a confederacy of polities. [Tourist] That’s an interesting story. By the way, what is the dolmen over there [Narration] The dolmen is from the 4th century B.C., and it consists of five or six supporting stones with a cover-stone lying on top of them. Look at the cover-stone. There is a phrase saying ‘Stone of Guji Peak’ and it was engraved by a famous calligrapher.Now, let’s take a look at the area surrounding Guji Peak. Shall we walk to the observatory on the peak Let’s stop and rest here. In front of Guji Peak are the tombs of various Gaya kings. The Daeseong-dong Tombs Museum is located next to them. [Tourist] Wow! I can see the whole of Gimhae from here. [Narration] Indeed. But can you believe that some parts of Gimhae was under water during the Gaya period It was covered by sea.[Tourist] Really! That’s hard to believe. I can’t even see the sea from here…[Narration] I know. But when Gaya was established, Gimhae was just a mudflat, revealed each time the tide receded. Gaya’s proximity to this part of the coast offered a geographical advantage and permitted exchange with neighboring countries by sea. Shell middens discovered in the region also support the assertion that the area was formerly tidal. These shell middens were simply piles of everyday rubbish, and most of them found in Gimhae were full of seashells from the mudflat such as oysters, clams and cockles. You can see related exhibits at the nearby Dongsam-dong Shell Midden Museum.",202
10609,Guji peak,Intimate Exchange Between Gaya and Japan Appeared in Legend,"Mysterious legends concerning the foundations of ancient kingdoms are commonplace. The legend of King Suro, the founder of Gaya, is a good example. According to the legend, King Suro hatched from a cloth-covered golden egg descended from heaven. Legends such as these served to emphasize the divinity of a nation’s founder and to justify the authority of a royal family.Surprisingly, the foundation myth of Gaya closely resembles Japanese mythology. How are they related Let’s learn a little about Japanese mythology. Legend has it that the founder of Japan also descended from heaven and was covered in a cloth. Egg and cloth from heaven… They are really similar, aren’t theyBut there’s an additional point of similarity between the two myths. In the Japanese legend, the region where the founder of Japan first appeared was named kuji furu take, which means ‘the peak of Kuji village’. Both the name and the pronunciation of the Japanese village bear a strong resemblance to that of Guji Peak in Gimhae.As we can see, the foundation mythologies of both countries are almost identical. This fact raises a question about whether the ruling group of Geumgwan Gaya migrated to Japan during the early 5th century and influenced the foundation of Japan.",105
10611,Bronze mirror,Rule the World with Light,"[Narration] The artifact we see here is an enlarged replica of bronze mirror excavated from the tombs of Gaya kings and nobility.The bronze mirrors of the time were rather more symbolic than practical. The people of Gaya believed that these round, shiny mirrors were imbued with the mystical power of the sun. They were usually possessed by noblemen and signified their authority.[Tourist] How can this be a mirror I can only see designs on the surface.[Narration] Obviously, what we are seeing here is the back of the mirror. The backs of the mirrors were adorned with various patterns, paintings and scripts. [Tourist] What about the front of the mirror Is it made of glass like modern mirrors[Narration] No, no. Just like in ancient western countries, the people of Gaya polished thick plates of copper or bronze until they became reflective. After a thousand years, the bronze mirror has rusted and is in far less than perfect condition. However, it was originally the color of gold.",78
10612,Cavalry Knight Figurine,"Guard of Geumgwan Gaya, Cavalry Knight Figurine","[Narration] This figurine represents a knight from Gaya, a kingdom that flourished as a result of its advanced iron industry. Can you see the scale armor of both the knight and the horse These are replicas of relics excavated from the tombs of Gaya kings.[Tourist] Ah, it looks similar to a medieval knight of Europe. [Narration] During the 4th and 5th centuries, heavily-armed knights equipped with iron armor and spears existed in Gaya in the south of Korea. Look at the armor of the knight. The scale armor, made by connecting separate iron plates in overlapping rows, was an epochal innovation of the time. The scales successfully protected the bodies of the knights from flying arrows. Compared to earlier single-plate armor, scale armor was far more convenient to wear as it permitted greater freedom of movement.[Tourist] The horse is also fully armored. That’s interesting.[Narration] Yes. If a horse was injured, the horseman would be in grave danger as well.[Tourist] Wow, I’m impressed! Gaya must have been a powerful kingdom with such well-armed knights.[Narration] Yes, it was very powerful. These cavalry in particular wore the most advanced equipment of the time. Thanks to its strong cavalry, the Gaya Confederacy was a leading figure in the northeast Asia region, as you can see on the screens above.",99
